"V21","V22","V23","V24","checking","duration","credit_history","purpose","credit_amount","employment","installment_rate","gender","marital_status","other_debtors_gaurantors","residenceyr","property","age","other_installment","housing","credits_in_bank","job","people_liable","telephone_owned","foreign_worker","good_bad_credit"
1,0,0,1,1,6,4,12,5,5,3,"male","divorced_separated",67,3,2,1,2,1,0,0,1,0,0,1
1,0,0,1,2,48,2,60,1,3,2,"male","divorced_separated",22,3,1,1,1,1,0,0,1,0,0,2
1,0,1,0,4,12,4,21,1,4,3,"male","divorced_separated",49,3,1,2,1,1,0,0,1,0,0,1
0,0,0,1,1,42,2,79,1,4,3,"female","married",45,3,1,2,1,1,0,0,0,0,0,1
0,0,0,1,1,24,3,49,1,3,3,"male","married_widowed",53,3,2,2,1,1,1,0,1,0,0,2
0,0,1,0,4,36,2,91,5,3,3,"male","married_widowed",35,3,1,2,2,1,0,0,1,0,0,1
1,0,0,1,4,24,2,28,3,5,3,"female","married",53,3,1,1,1,1,0,0,1,0,0,1
0,0,0,0,2,36,2,69,1,3,3,"male","single",35,3,1,1,2,1,0,1,1,0,1,1
1,0,1,0,4,12,2,31,4,4,1,"male","divorced_separated",61,3,1,1,1,1,0,0,1,0,0,1
1,0,0,0,2,30,4,52,1,1,4,"male","single",28,3,2,1,1,1,1,0,1,0,0,2
0,0,0,1,2,12,2,13,1,2,2,"male","single",25,3,1,1,1,1,1,0,1,0,1,2
0,0,0,1,1,48,2,43,1,2,2,"female","married",24,3,1,1,1,1,0,0,1,0,1,2
1,0,0,1,2,12,2,16,1,3,2,"male","single",22,3,1,1,2,1,0,0,1,0,0,1
1,0,1,0,1,24,4,12,1,5,3,"male","single",60,3,2,1,1,1,1,0,1,0,0,2
0,0,0,1,1,15,2,14,1,3,2,"male","single",28,3,1,1,1,1,1,0,1,0,1,1
1,0,1,0,1,24,2,13,2,3,2,"male","single",32,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,4,24,4,24,5,5,3,"female","married",53,3,2,1,1,1,0,0,1,0,0,1
1,0,0,1,1,30,0,81,5,2,3,"male","single",25,1,3,1,1,1,0,0,1,0,0,1
0,0,0,0,2,24,2,126,1,5,2,"male","married_widowed",44,3,1,1,2,1,0,1,1,0,0,2
1,0,0,1,4,24,2,34,3,5,3,"male","single",31,3,1,2,2,1,0,0,1,0,0,1
1,0,0,1,4,9,4,21,1,3,3,"male","single",48,3,3,1,2,1,1,0,1,0,0,1
0,0,0,1,1,6,2,26,3,3,3,"male","divorced_separated",44,3,1,2,1,1,0,0,1,0,1,1
0,0,1,0,1,10,4,22,1,2,3,"male","divorced_separated",48,3,2,2,1,2,1,0,1,0,1,1
1,0,0,1,2,12,4,18,2,2,3,"female","married",44,3,1,1,1,1,0,1,1,0,0,1
1,0,0,1,4,10,4,21,5,3,4,"male","single",26,3,2,1,1,2,0,0,1,0,0,1
1,0,1,0,1,6,2,14,1,3,3,"male","divorced_separated",36,1,1,1,2,1,0,0,1,0,0,1
1,0,1,0,4,6,0,4,1,5,4,"male","single",39,3,1,1,1,1,0,0,1,0,0,1
0,0,0,1,3,12,1,4,4,3,2,"male","divorced_separated",42,3,2,1,1,1,0,0,1,0,1,1
1,0,0,1,2,7,2,24,1,3,3,"male","divorced_separated",34,3,1,1,1,1,0,0,0,0,0,1
1,0,0,1,1,60,3,68,1,5,3,"male","married_widowed",63,3,2,1,2,1,0,0,1,0,0,2
1,0,0,1,2,18,2,19,4,2,4,"male","divorced_separated",36,1,1,1,2,1,0,0,1,0,0,1
1,0,0,1,1,24,2,40,1,3,3,"male","single",27,2,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,18,2,59,2,3,3,"male","single",30,3,2,1,2,1,1,0,1,0,0,1
0,0,1,0,4,12,4,13,5,5,3,"male","married_widowed",57,3,1,1,1,1,0,0,1,0,1,1
1,0,0,0,3,12,2,15,1,2,2,"female","married",33,1,1,1,2,1,0,0,1,0,0,1
1,0,1,0,2,45,4,47,1,2,3,"female","married",25,3,2,1,1,1,0,0,1,0,0,2
0,0,0,1,4,48,4,61,1,3,3,"male","married_widowed",31,1,1,1,2,1,0,0,1,0,0,1
1,0,0,1,3,18,2,21,1,3,3,"male","divorced_separated",37,2,1,1,1,1,0,0,0,1,0,2
1,0,0,1,3,10,2,12,1,3,3,"male","single",37,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,9,2,5,1,3,3,"male","divorced_separated",24,3,1,1,1,1,0,0,1,0,0,1
1,0,0,0,4,30,2,23,3,5,3,"male","single",30,1,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,12,2,12,3,3,1,"male","single",26,3,1,1,2,1,0,0,1,0,0,1
1,0,1,0,2,18,3,62,1,3,3,"male","divorced_separated",44,3,1,2,2,1,0,0,1,0,0,1
0,0,0,1,1,30,4,62,2,4,4,"male","single",24,3,2,1,1,1,0,1,1,0,1,1
0,0,1,0,1,48,4,61,1,5,2,"male","married_widowed",58,2,2,1,1,1,0,1,1,0,0,2
1,0,0,0,4,11,4,14,1,2,2,"male","single",35,3,2,1,1,1,1,0,1,0,0,1
1,0,0,1,4,36,2,23,3,5,3,"male","single",39,3,1,1,1,1,0,0,1,0,0,1
0,1,0,0,1,6,2,14,3,1,2,"female","married",23,3,1,1,2,1,0,1,1,0,1,1
1,0,1,0,4,11,4,72,1,3,3,"female","married",39,3,2,1,1,1,1,0,1,0,0,1
1,0,0,1,4,12,2,21,2,3,2,"male","divorced_separated",28,3,1,1,1,1,0,0,0,1,0,1
1,0,1,0,2,24,3,23,5,2,3,"female","married",29,1,1,1,1,1,0,0,1,0,0,1
1,0,0,0,2,27,3,60,1,5,3,"male","single",30,3,2,1,2,1,0,1,1,0,0,1
1,0,0,1,4,12,2,13,1,3,3,"male","single",25,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,18,2,34,5,3,3,"female","married",31,3,1,1,2,1,0,1,1,0,0,1
0,0,0,1,2,36,3,22,1,5,3,"male","married_widowed",57,1,2,1,2,1,1,0,1,0,0,2
1,0,1,0,4,6,1,8,5,3,3,"male","divorced_separated",26,2,1,2,1,1,1,0,0,0,0,1
1,0,0,0,2,12,2,65,5,1,3,"male","married_widowed",52,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,36,4,96,1,3,2,"male","single",31,2,2,1,1,1,0,0,1,0,0,1
1,0,0,0,3,18,2,20,1,5,2,"male","single",23,3,1,1,1,1,1,0,1,0,0,1
0,0,1,0,1,36,4,62,1,2,2,"male","married_widowed",23,3,2,1,2,1,0,0,0,1,1,2
1,0,0,1,2,9,2,14,1,3,4,"male","divorced_separated",27,1,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,15,4,15,5,5,3,"male","divorced_separated",50,3,2,1,2,1,0,0,0,0,0,1
0,0,0,0,2,36,0,20,1,5,3,"male","married_widowed",61,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,2,48,0,144,1,3,3,"male","single",25,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,24,2,32,1,2,2,"female","married",26,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,4,27,2,52,5,5,3,"female","married",48,3,4,2,2,1,0,0,1,0,0,1
1,0,0,1,4,12,2,22,1,2,2,"male","single",29,1,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,12,2,10,4,3,4,"male","divorced_separated",22,3,1,1,1,1,1,0,1,0,0,1
0,0,0,1,4,36,2,18,1,3,3,"male","married_widowed",37,2,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,36,2,24,5,3,2,"male","single",25,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,36,2,81,1,3,2,"female","married",30,1,1,1,1,1,0,1,1,0,0,1
0,0,1,0,4,7,4,7,5,5,3,"female","married",46,3,2,1,2,1,0,0,1,0,1,1
0,0,0,0,1,8,4,12,1,5,3,"male","married_widowed",51,1,2,2,2,1,0,0,1,0,0,1
1,0,1,0,2,42,4,60,1,4,2,"male","divorced_separated",41,1,2,1,1,1,0,0,1,0,0,1
1,0,0,0,1,36,2,20,5,5,3,"male","married_widowed",40,3,1,1,2,1,0,0,1,0,0,2
0,0,0,0,1,12,4,15,1,5,3,"male","married_widowed",66,3,2,1,1,1,0,1,1,0,0,1
1,0,0,1,1,42,2,40,1,2,3,"male","single",34,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,2,11,3,48,1,4,3,"female","married",51,3,1,1,1,1,0,0,1,0,0,1
1,0,1,0,4,54,0,94,5,3,3,"female","married",39,3,1,2,1,1,0,1,1,0,0,1
1,0,0,1,2,30,2,38,1,2,4,"female","married",22,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,24,2,59,5,2,2,"male","single",44,3,2,1,2,1,0,0,1,0,0,2
1,0,0,1,4,15,2,12,3,5,3,"female","married",47,2,1,1,2,1,0,0,1,0,0,1
0,0,1,0,4,18,2,16,2,3,2,"female","married",24,3,1,1,1,1,0,0,1,0,1,1
1,0,1,0,1,24,2,18,1,5,2,"male","divorced_separated",58,3,1,1,2,1,0,0,0,0,0,1
1,0,1,0,1,10,2,23,1,5,3,"male","divorced_separated",52,3,1,1,1,1,0,0,1,0,0,1
1,0,0,0,4,12,4,14,1,3,2,"male","divorced_separated",29,3,2,1,2,1,0,0,0,0,0,1
1,0,0,1,2,18,4,13,1,2,2,"female","married",27,3,2,1,1,1,0,0,1,0,0,1
0,0,0,1,2,36,2,126,2,3,3,"male","married_widowed",47,3,1,2,2,1,0,0,1,0,0,2
1,0,0,0,1,18,2,22,2,4,3,"male","single",30,3,1,2,2,1,1,0,1,0,0,1
1,0,0,1,1,12,0,11,1,4,3,"male","divorced_separated",28,3,2,1,1,1,0,0,1,0,0,2
1,0,0,1,4,12,4,6,1,5,3,"male","divorced_separated",56,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,1,12,4,14,1,5,3,"male","divorced_separated",54,3,1,1,1,1,0,1,1,0,0,1
1,0,1,0,4,12,4,8,5,5,2,"female","married",33,1,1,2,1,1,0,0,1,0,0,2
0,0,0,1,3,24,4,36,5,5,3,"male","married_widowed",20,3,2,1,1,1,0,0,0,1,1,1
1,0,0,1,2,12,2,13,4,5,3,"male","divorced_separated",54,3,1,1,2,1,1,0,1,0,0,1
0,0,0,1,2,54,0,159,1,2,3,"male","married_widowed",58,3,1,1,2,1,0,0,1,0,1,2
1,0,0,1,4,12,4,20,5,4,2,"male","single",61,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,18,2,26,2,3,3,"male","single",34,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,36,4,23,1,5,3,"male","divorced_separated",36,3,1,1,1,1,0,0,1,0,0,1
0,0,0,0,2,20,3,71,5,4,3,"female","married",36,1,2,2,2,1,0,1,1,0,1,1
0,0,1,0,4,24,2,15,2,5,4,"male","divorced_separated",41,3,1,1,1,1,1,0,1,0,1,1
0,0,0,1,2,36,2,23,1,4,3,"male","single",24,3,1,1,1,1,0,0,1,0,1,1
1,0,0,1,4,6,3,9,1,3,2,"male","divorced_separated",24,3,1,1,1,1,0,0,1,0,0,1
0,0,0,1,2,9,4,19,1,4,3,"male","single",35,3,1,1,2,1,0,0,1,0,1,1
0,0,0,1,4,12,2,24,5,2,4,"male","single",26,3,1,1,2,1,0,1,1,0,1,1
1,0,0,0,2,24,4,119,1,3,3,"male","single",39,3,2,2,2,1,0,0,0,1,0,2
1,0,0,0,4,18,1,65,1,5,3,"male","married_widowed",39,1,2,2,2,1,1,0,1,0,0,2
1,0,0,1,2,12,2,61,1,4,3,"male","single",32,3,1,1,1,1,1,0,1,0,0,1
1,0,0,1,1,24,2,77,5,2,2,"female","married",30,3,1,1,2,2,0,0,1,0,0,1
1,0,0,1,2,14,2,14,3,5,4,"male","divorced_separated",35,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,6,3,14,2,5,1,"male","single",31,1,2,2,1,1,0,0,1,0,0,1
0,0,0,1,3,15,2,4,1,2,2,"female","married",23,3,1,1,2,1,0,0,1,0,1,1
0,0,1,0,2,18,2,63,1,4,3,"male","divorced_separated",28,3,1,1,1,1,1,0,1,0,1,1
1,0,0,1,4,36,4,79,1,3,2,"male","divorced_separated",25,2,2,1,2,1,1,0,1,0,0,2
1,0,0,1,1,12,2,17,3,5,4,"male","divorced_separated",35,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,48,4,36,5,5,3,"male","divorced_separated",47,3,1,1,2,1,0,0,1,0,0,1
1,0,0,0,1,42,2,72,5,4,2,"male","single",30,3,1,1,2,1,0,0,1,0,0,2
0,0,0,1,1,10,4,21,5,2,2,"male","divorced_separated",27,3,2,1,1,2,0,0,0,1,1,1
1,0,0,1,1,33,4,43,3,3,2,"male","single",23,3,2,1,1,1,0,0,1,0,0,2
1,0,0,0,2,12,4,24,3,4,1,"male","single",36,3,1,1,2,1,1,0,1,0,0,1
1,0,0,1,1,21,2,18,1,3,2,"male","divorced_separated",25,3,2,1,2,1,0,0,1,0,0,2
0,0,0,0,4,24,4,39,1,5,2,"male","single",41,3,2,1,2,1,0,1,1,0,1,1
0,0,1,0,4,12,2,18,1,3,3,"male","divorced_separated",24,3,1,1,1,1,0,0,1,0,1,1
0,0,0,1,3,10,4,8,1,5,3,"male","married_widowed",63,3,2,1,2,1,1,0,1,0,0,1
0,0,0,1,2,18,2,19,5,2,2,"male","divorced_separated",27,3,1,1,1,1,0,0,1,0,1,2
1,0,0,1,1,12,4,21,1,3,3,"female","married",30,3,2,1,1,1,1,0,1,0,0,1
1,0,1,0,1,12,2,7,1,3,4,"male","divorced_separated",40,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,12,2,6,1,3,3,"male","single",30,3,1,1,1,1,0,0,1,0,0,2
1,0,0,0,2,12,4,19,1,1,3,"male","single",34,3,2,1,2,1,0,1,1,0,0,1
1,0,0,1,1,12,4,35,1,3,2,"male","divorced_separated",29,3,2,1,1,1,1,0,0,1,0,2
1,0,0,1,2,48,2,85,5,4,2,"male","single",24,3,1,1,1,1,1,0,1,0,0,1
1,0,0,1,1,36,3,69,1,3,3,"female","married",29,2,1,1,2,1,0,0,1,0,0,2
1,0,1,0,4,15,2,27,1,2,3,"female","married",27,1,2,1,1,1,0,0,1,0,0,1
0,0,0,1,4,18,2,20,1,3,3,"male","married_widowed",47,1,2,1,1,1,0,0,1,0,0,1
1,0,0,1,4,60,2,101,2,4,2,"male","divorced_separated",21,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,4,12,4,12,5,5,2,"male","divorced_separated",38,3,2,1,2,1,0,0,1,0,0,1
1,0,0,1,4,27,3,86,4,3,3,"male","single",27,3,2,1,1,1,0,1,1,0,0,1
1,0,1,0,2,12,2,8,3,3,3,"male","divorced_separated",66,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,2,15,4,27,5,4,3,"male","divorced_separated",35,1,3,1,2,1,0,0,0,0,0,1
0,0,1,0,3,12,2,19,1,3,2,"male","single",44,3,1,1,2,1,0,0,1,0,1,1
1,1,0,0,3,6,2,7,4,2,4,"male","divorced_separated",27,3,1,1,1,2,1,0,1,0,0,1
1,0,0,0,2,36,2,48,1,2,2,"male","married_widowed",30,3,1,1,2,1,0,0,1,0,0,1
1,0,0,0,1,27,2,34,1,3,3,"male","single",27,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,1,18,2,25,1,3,3,"male","single",22,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,4,21,4,23,1,2,2,"female","married",23,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,48,1,36,2,4,3,"male","single",30,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,1,6,4,9,1,5,2,"male","married_widowed",39,3,2,1,2,1,1,0,1,0,0,1
1,0,0,1,4,12,4,7,2,4,2,"male","single",51,3,2,1,2,1,1,0,1,0,0,1
1,0,0,1,1,36,4,54,1,3,3,"female","married",28,3,2,1,1,1,0,0,0,0,0,1
1,0,0,1,4,18,4,16,4,5,3,"male","single",46,3,2,1,1,1,0,0,1,0,0,1
0,0,0,1,4,6,2,13,2,5,3,"male","married_widowed",42,1,1,2,2,1,0,0,1,0,0,1
1,0,0,1,4,10,2,19,1,3,3,"female","married",38,3,1,1,2,2,0,0,1,0,0,1
1,0,0,1,3,36,2,58,1,3,3,"male","single",24,3,1,1,1,1,0,0,1,0,0,1
0,0,0,1,2,24,4,78,4,5,2,"male","married_widowed",29,3,1,1,1,1,0,1,1,0,1,1
0,0,0,0,2,24,3,70,2,4,3,"male","single",36,3,1,1,2,1,0,0,1,0,1,1
0,0,0,1,1,12,2,13,1,3,2,"male","single",20,3,1,1,1,1,0,0,1,0,1,2
1,0,0,1,1,9,4,13,2,5,3,"male","divorced_separated",48,3,2,2,1,2,0,0,0,0,0,1
1,0,1,0,1,12,1,3,1,5,4,"male","single",45,1,1,1,1,1,0,0,1,0,0,1
1,0,0,1,2,24,2,35,2,4,3,"male","single",38,1,2,1,2,1,1,0,1,0,0,1
1,0,1,0,4,6,4,19,5,3,3,"male","divorced_separated",34,3,2,2,1,1,0,0,1,0,0,1
1,0,0,1,4,24,4,29,2,5,3,"male","divorced_separated",36,3,1,2,2,1,0,0,1,0,0,1
1,0,0,1,4,18,4,11,1,2,2,"female","married",30,3,2,1,1,1,1,0,1,0,0,1
1,0,0,1,4,15,2,13,3,4,3,"female","married",36,3,2,1,2,1,0,0,1,0,0,1
0,0,0,0,2,10,2,73,1,1,3,"male","married_widowed",70,1,1,1,2,1,1,0,1,0,0,1
1,0,0,1,4,36,2,9,3,5,3,"female","married",36,3,1,1,1,1,1,0,1,0,0,1
1,0,0,1,4,6,2,30,3,3,3,"male","single",32,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,1,18,2,11,1,1,2,"male","single",33,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,2,11,2,16,4,2,2,"male","divorced_separated",20,3,1,1,1,1,0,0,1,0,0,1
0,0,0,1,4,24,2,40,1,4,2,"female","married",25,3,1,1,2,1,0,0,1,0,1,1
1,0,0,1,2,24,4,19,1,5,1,"male","divorced_separated",31,3,2,1,2,1,0,0,1,0,0,2
0,0,0,1,1,15,0,10,1,5,3,"male","single",33,3,2,2,1,1,1,0,1,0,1,2
1,0,0,1,4,12,2,8,1,3,2,"male","divorced_separated",26,3,1,1,2,1,0,0,1,0,0,1
1,0,0,0,2,24,3,21,1,1,2,"female","married",34,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,2,8,2,14,1,3,3,"male","divorced_separated",33,3,1,1,1,2,0,0,0,0,0,1
1,0,0,1,1,21,3,34,1,2,3,"female","married",26,3,2,1,1,1,0,0,1,0,0,2
1,0,0,0,4,30,1,75,5,1,2,"male","divorced_separated",53,1,1,1,2,1,0,1,1,0,0,2
1,0,0,1,1,12,2,26,1,3,1,"male","single",42,3,1,1,1,1,0,0,1,0,0,1
1,0,0,1,1,6,4,3,3,5,3,"male","single",52,3,2,1,1,1,0,0,1,0,0,1
0,0,0,0,4,12,2,20,1,4,3,"male","single",31,3,2,2,2,1,0,0,1,0,1,1
1,0,0,1,1,21,4,6,1,5,3,"male","divorced_separated",65,3,2,1,1,1,1,0,1,0,0,1
1,0,0,1,4,36,3,96,1,2,1,"male","single",28,3,2,1,1,1,0,0,1,0,0,2
1,0,0,0,2,36,3,45,1,3,1,"male","divorced_separated",30,2,2,1,2,1,0,0,1,0,0,2
1,0,1,0,1,21,1,16,5,3,3,"female","married",40,3,2,2,1,1,1,0,1,0,0,2
1,0,0,1,4,24,4,38,4,3,3,"male","divorced_separated",50,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,2,18,4,9,1,5,3,"male","single",36,1,1,2,2,1,1,0,1,0,0,2
1,0,0,1,4,15,4,14,1,3,3,"female","married",31,3,2,1,1,1,0,0,1,0,0,1
0,0,0,0,2,9,1,51,1,5,2,"male","married_widowed",74,1,1,2,2,1,0,1,1,0,0,2
0,1,0,0,2,16,4,12,1,1,3,"male","single",68,3,3,1,2,1,1,0,1,0,0,1
1,0,0,1,1,12,2,7,2,4,4,"female","married",20,3,1,1,1,1,0,0,1,0,0,2
1,0,0,1,2,18,0,32,1,3,2,"male","single",33,1,2,1,2,1,0,0,1,0,0,1
1,0,0,0,4,24,2,46,4,3,3,"female","married",54,3,3,1,2,1,0,0,1,0,0,2
0,0,1,0,2,48,0,38,2,4,3,"male","married_widowed",34,3,1,2,1,1,0,0,1,0,0,2
1,0,0,1,2,27,2,39,1,3,3,"male","single",36,3,1,2,2,1,0,0,1,0,0,2
0,0,0,1,4,6,2,21,1,4,4,"male","divorced_separated",29,3,1,1,1,1,0,0,1,0,1,1
0,0,0,1,2,45,2,30,2,3,3,"female","married",21,3,1,1,1,1,0,0,0,0,1,2
1,0,0,0,2,9,4,15,1,5,2,"male","single",34,3,2,1,2,1,0,0,1,0,0,2
1,0,0,1,4,6,4,14,1,3,2,"male","single",28,3,2,1,2,1,0,0,1,0,0,1
0,0,0,1,2,12,2,10,2,2,2,"male","single",27,1,4,1,1,1,0,0,1,0,1,2
0,0,0,1,2,24,2,28,5,5,3,"male","married_widowed",36,1,1,1,2,1,0,1,1,0,0,1
1,0,0,0,2,18,3,43,1,5,1,"male","married_widowed",40,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,9,4,9,3,5,3,"male","single",52,3,2,1,2,1,0,0,1,0,0,1
1,0,1,0,1,12,2,12,1,3,4,"male","divorced_separated",27,3,1,1,1,1,1,0,1,0,0,1
1,0,0,1,4,27,3,51,1,4,3,"male","single",26,3,2,1,1,1,0,0,1,0,0,1
0,0,0,1,1,12,2,9,1,4,4,"female","married",21,3,1,1,1,1,0,0,1,0,1,2
1,0,1,0,4,12,4,15,1,5,3,"male","divorced_separated",38,3,2,2,1,1,1,0,1,0,0,1
0,0,0,0,1,30,4,106,1,5,3,"male","married_widowed",38,3,3,2,2,1,0,1,1,0,0,1
1,0,0,1,4,12,4,19,1,5,3,"male","divorced_separated",43,3,3,1,2,1,0,0,1,0,0,1
1,0,0,1,2,12,4,14,1,4,3,"female","married",26,3,1,1,1,1,0,0,1,0,0,1
1,0,1,0,1,24,2,66,1,3,4,"male","single",21,2,1,1,1,1,0,0,1,0,0,1
1,0,0,1,4,12,2,14,4,4,3,"female","married",55,3,1,1,1,2,0,1,1,0,0,1
1,0,0,1,4,9,4,31,5,3,3,"male","divorced_separated",33,3,2,2,1,1,0,0,1,0,0,1
1,0,1,0,4,36,2,38,5,5,2,"male","divorced_separated",45,3,1,1,2,1,0,0,1,0,0,1
1,0,0,1,1,27,0,53,1,1,3,"female","married",50,2,2,1,2,1,0,0,1,0,0,2
1,0,0,0,3,30,3,19,1,5,3,"male","divorced_separated",66,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,36,4,33,5,5,3,"male","single",51,3,1,1,2,1,0,0,1,0,0,1
1,0,1,0,2,6,4,9,5,4,2,"female","married",39,3,2,1,1,1,0,0,1,0,0,1
1,0,0,1,1,18,0,31,1,4,3,"female","married",31,1,1,1,2,1,0,0,1,0,0,1
1,0,0,1,3,36,2,39,1,3,3,"male","divorced_separated",23,3,1,1,2,1,0,0,1,0,0,1
0,0,1,0,1,24,2,30,1,3,1,"male","divorced_separated",24,3,1,1,1,1,0,0,1,0,1,1
1,0,0,1,4,10,2,14,1,3,2,"male","single",64,3,1,1,2,1,1,0,1,0,0,1
1,0,1,0,2,12,2,6,1,2,4,"male","divorced_separated",26,1,1,1,1,1,0,0,0,0,0,1
0,0,0,1,1,12,2,12,5,3,2,"female","married",23,1,1,1,2,1,0,0,1,0,1,1
1,0,0,1,4,12,2,7,1,3,3,"male","divorced_separated",30,1,2,1,1,1,0,0,1,0,0,1
1,0,0,1,4,24,3,30,5,3,3,"male","divorced_separated",32,3,2,2,2,1,0,0,1,0,0,1
1,0,0,1,4,15,2,47,1,3,3,"male","single",30,3,1,1,2,1,0,1,1,0,0,1
1,0,0,1,4,36,0,26,1,3,3,"male","single",27,3,2,1,1,1,0,0,1,0,0,1
1,0,0,1,2,48,2,110,4,4,3,"male","married_widowed",27,1,2,1,2,1,0,0,0,1,0,2
0,0,0,0,1,12,2,79,1,5,3,"male","married_widowed",53,3,1,1,2,1,0,0,1,0,0,2
1,0,0,1,4,9,2,15,1,4,3,"male","single",22,3,1,1,1,1,0,0,1,0,0,2
0,0,0,1,1,24,2,31,1,2,3,"male","married_widowed",22,1,1,1,1,1,0,0,1,0,0,1
1,0,0,1,3,36,2,42,1,3,3,"male","single",26,3,1,1,1,1,0,0,1,0,0,2
0,0,1,0,4,9,2,25,3,5,3,"male","married_widowed",51,3,1,1,1,1,1,0,1,0,0,1
1,0,0,1,4,12,2,21,2,4,3,"male","married_widowed",35,3,1,1,1,1,0,0,1,0,0,1
1,0,1,0,2,18,2,9,1,3,4,"male","divorced_separated",25,3,1,1,1,1,0,0,0,0,0,1
1,0,1,0,4,4,4,15,1,4,3,"male","divorced_separated",42,3,3,2,1,1,0,0,1,0,0,1
1,0,0,0,1,24,2,18,1,1,3,"male","single",30,2,1,2,1,1,0,0,1,0,0,2
1,1,0,0,2,6,2,146,5,1,3,"female","married",23,3,1,1,2,1,1,0,1,0,0,2
0,0,1,0,2,21,2,28,2,5,1,"male","single",61,1,2,1,1,1,0,0,1,0,1,2
1,0,0,1,4,12,4,13,1,3,2,"female","married",35,3,2,1,1,1,0,0,1,0,0,1
1,0,0,1,1,30,2,25,1,5,3,"female","married",39,3,1,2,1,1,0,0,0,0,0,1
1,0,0,1,1,24,2,9,5,5,2,"male","single",29,1,1,1,1,1,1,0,1,0,0,2
1,0,0,1,4,6,2,16,1,4,3,"female","married",51,3,1,2,1,1,0,0,1,0,0,1
0,0,0,1,1,48,0,46,1,5,3,"male","married_widowed",24,3,2,2,1,1,0,1,1,0,0,2
1,0,0,1,4,12,4,12,1,3,2,"male","divorced_separated",27,3,2,1,1,1,0,0,1,0,0,1
1,0,1,0,4,12,1,34,3,3,2,"male","divorced_separated",35,3,1,2,1,1,0,0,1,0,0,1
1,0,0,1,4,24,2,13,1,4,3,"male","divorced_separated",25,3,1,1,2,1,0,0,1,0,0,1
